,Prolific ID,test_index,num_feats,Correct Response,test_key_resp.corr,test_key_resp.rt,graph_type
30,6658924488240b0d31d2e94b,31.0,3.0,right,0.0,3.4163,structured
31,6658924488240b0d31d2e94b,5.0,1.0,left,0.0,1.1797,structured
32,6658924488240b0d31d2e94b,36.0,4.0,right,1.0,1.8307,structured
33,6658924488240b0d31d2e94b,45.0,4.0,right,1.0,0.9502,structured
34,6658924488240b0d31d2e94b,0.0,1.0,left,0.0,9.7997,structured
35,6658924488240b0d31d2e94b,12.0,2.0,right,1.0,1.1168,structured
36,6658924488240b0d31d2e94b,20.0,2.0,left,1.0,1.2561,structured
37,6658924488240b0d31d2e94b,29.0,3.0,right,1.0,0.6698,structured
38,6658924488240b0d31d2e94b,11.0,1.0,left,1.0,0.6691,structured
39,6658924488240b0d31d2e94b,40.0,4.0,right,1.0,0.7637,structured
40,6658924488240b0d31d2e94b,16.0,2.0,right,1.0,1.0186,structured
41,6658924488240b0d31d2e94b,9.0,1.0,right,0.0,2.9002,structured
42,6658924488240b0d31d2e94b,37.0,4.0,right,1.0,0.8512,structured
43,6658924488240b0d31d2e94b,1.0,1.0,left,0.0,6.0578,structured
44,6658924488240b0d31d2e94b,19.0,2.0,left,0.0,1.1442,structured
45,6658924488240b0d31d2e94b,30.0,3.0,left,1.0,0.7774,structured
46,6658924488240b0d31d2e94b,41.0,4.0,left,1.0,0.6655,structured
47,6658924488240b0d31d2e94b,43.0,4.0,right,1.0,0.7711,structured
0,646bbfb77ab727d9c05dd0da,39.0,4.0,right,0.0,6.7854,structured
1,646bbfb77ab727d9c05dd0da,42.0,4.0,right,0.0,6.4727,structured
2,646bbfb77ab727d9c05dd0da,21.0,2.0,left,1.0,5.322,structured
3,646bbfb77ab727d9c05dd0da,25.0,3.0,right,0.0,5.4109,structured
4,646bbfb77ab727d9c05dd0da,24.0,3.0,right,0.0,5.3567,structured
5,646bbfb77ab727d9c05dd0da,11.0,1.0,left,1.0,5.0201,structured
6,646bbfb77ab727d9c05dd0da,32.0,3.0,right,0.0,3.5592,structured
7,646bbfb77ab727d9c05dd0da,5.0,1.0,right,1.0,12.141,structured
8,646bbfb77ab727d9c05dd0da,45.0,4.0,right,1.0,7.4618,structured
9,646bbfb77ab727d9c05dd0da,27.0,3.0,left,1.0,6.7885,structured
10,646bbfb77ab727d9c05dd0da,43.0,4.0,right,0.0,13.5134,structured
11,646bbfb77ab727d9c05dd0da,38.0,4.0,right,1.0,6.801,structured
12,646bbfb77ab727d9c05dd0da,2.0,1.0,left,1.0,9.45,structured
13,646bbfb77ab727d9c05dd0da,14.0,2.0,right,1.0,8.0838,structured
14,646bbfb77ab727d9c05dd0da,7.0,1.0,left,1.0,12.7837,structured
15,646bbfb77ab727d9c05dd0da,12.0,2.0,left,1.0,8.1329,structured
16,646bbfb77ab727d9c05dd0da,15.0,2.0,right,1.0,8.9984,structured
17,646bbfb77ab727d9c05dd0da,44.0,4.0,right,1.0,4.5004,structured
18,646bbfb77ab727d9c05dd0da,16.0,2.0,left,0.0,8.8042,structured
19,646bbfb77ab727d9c05dd0da,10.0,1.0,right,1.0,6.2138,structured
20,646bbfb77ab727d9c05dd0da,47.0,4.0,left,1.0,8.7714,structured
21,646bbfb77ab727d9c05dd0da,28.0,3.0,left,1.0,7.4114,structured
22,646bbfb77ab727d9c05dd0da,3.0,1.0,left,1.0,14.7497,structured
23,646bbfb77ab727d9c05dd0da,29.0,3.0,right,0.0,11.584,structured
24,646bbfb77ab727d9c05dd0da,36.0,4.0,right,1.0,6.7828,structured
25,646bbfb77ab727d9c05dd0da,31.0,3.0,left,1.0,9.0817,structured
26,646bbfb77ab727d9c05dd0da,46.0,4.0,right,1.0,4.9485,structured
27,646bbfb77ab727d9c05dd0da,18.0,2.0,left,1.0,8.6511,structured
28,646bbfb77ab727d9c05dd0da,0.0,1.0,left,0.0,7.5546,structured
29,646bbfb77ab727d9c05dd0da,30.0,3.0,left,1.0,5.6848,structured
30,646bbfb77ab727d9c05dd0da,34.0,3.0,right,1.0,6.7664,structured
31,646bbfb77ab727d9c05dd0da,9.0,1.0,left,0.0,6.7336,structured
32,646bbfb77ab727d9c05dd0da,22.0,2.0,right,1.0,3.5341,structured
